aten_op,input_shapes,calls,self_gpu_time_us,self_gpu_pct,avg_us_per_call
aten::copy_,"[[512, 75], [512, 75], []]",1,8.9,0.00,8.94
aten::copy_,"[[512, 105], [512, 105], []]",1,8.9,0.00,8.94
aten::copy_,"[[512, 130], [512, 130], []]",1,8.9,0.00,8.94
aten::copy_,"[[512, 153], [512, 153], []]",1,8.9,0.00,8.94
aten::copy_,"[[512, 185], [512, 185], []]",1,8.9,0.00,8.94
aten::copy_,"[[512, 199], [512, 199], []]",1,8.9,0.00,8.94
aten::copy_,"[[512, 12], [512, 12], []]",1,8.9,0.00,8.94
aten::copy_,"[[512, 32], [512, 32], []]",1,8.9,0.00,8.94
aten::copy_,"[[512, 44], [512, 44], []]",1,8.9,0.00,8.94
aten::copy_,"[[512, 145], [512, 145], []]",1,8.9,0.00,8.90
aten::copy_,"[[512, 156], [512, 156], []]",1,8.9,0.00,8.90
aten::copy_,"[[512, 92], [512, 92], []]",1,8.9,0.00,8.90
aten::copy_,"[[512, 96], [512, 96], []]",1,8.9,0.00,8.90
aten::copy_,"[[512, 52], [512, 52], []]",1,8.9,0.00,8.90
aten::copy_,"[[512, 45], [512, 45], []]",1,8.9,0.00,8.90
aten::copy_,"[[512, 72], [512, 72], []]",1,8.9,0.00,8.90
aten::copy_,"[[512, 131], [512, 131], []]",1,8.9,0.00,8.90
aten::copy_,"[[512, 152], [512, 152], []]",1,8.9,0.00,8.90
aten::copy_,"[[512, 168], [512, 168], []]",1,8.9,0.00,8.90
aten::copy_,"[[512, 195], [512, 195], []]",1,8.9,0.00,8.90
aten::copy_,"[[512, 200], [512, 200], []]",1,8.9,0.00,8.90
aten::copy_,"[[512, 117], [512, 117], []]",1,8.9,0.00,8.86
aten::copy_,"[[512, 93], [512, 93], []]",1,8.9,0.00,8.86
aten::copy_,"[[512, 107], [512, 107], []]",1,8.9,0.00,8.86
aten::copy_,"[[512, 129], [512, 129], []]",1,8.9,0.00,8.86
aten::copy_,"[[512, 146], [512, 146], []]",1,8.9,0.00,8.86
aten::copy_,"[[512, 147], [512, 147], []]",1,8.9,0.00,8.86
aten::copy_,"[[512, 11], [512, 11], []]",1,8.9,0.00,8.86
aten::copy_,"[[512, 22], [512, 22], []]",1,8.9,0.00,8.86
aten::copy_,"[[512, 40], [512, 40], []]",1,8.9,0.00,8.86
aten::copy_,"[[512, 46], [512, 46], []]",1,8.9,0.00,8.86
aten::copy_,"[[512, 54], [512, 54], []]",1,8.9,0.00,8.86
aten::copy_,"[[512, 69], [512, 69], []]",1,8.9,0.00,8.86
aten::copy_,"[[512, 80], [512, 80], []]",1,8.9,0.00,8.86
aten::copy_,"[[512, 91], [512, 91], []]",1,8.9,0.00,8.86
aten::copy_,"[[512, 119], [512, 119], []]",1,8.9,0.00,8.86
aten::copy_,"[[512, 134], [512, 134], []]",1,8.9,0.00,8.86
aten::copy_,"[[512, 159], [512, 159], []]",1,8.9,0.00,8.86
aten::copy_,"[[512, 163], [512, 163], []]",1,8.9,0.00,8.86
aten::copy_,"[[512, 179], [512, 179], []]",1,8.9,0.00,8.86
aten::copy_,"[[512, 182], [512, 182], []]",1,8.9,0.00,8.86
aten::copy_,"[[512, 204], [512, 204], []]",1,8.9,0.00,8.86
aten::copy_,"[[512, 205], [512, 205], []]",1,8.9,0.00,8.86
